timestamp,rule_based_wqi,adaptive_wqi,anomaly_flag,ph_now,ph_ci_lower,temp_now,temp_ci_upper,delta
2026-01-01 00:00:00,99.3,100.0,0,7.01,6.938099419641996,24.2,23.822023038690322,-0.7000000000000028
2026-01-01 00:05:00,99.3,100.0,0,7.01,6.938099419641996,24.1,23.822023038690322,-0.7000000000000028
2026-01-01 00:10:00,99.3,100.0,0,7.01,6.938099419641996,24.0,23.822023038690322,-0.7000000000000028
2026-01-01 00:15:00,99.3,100.0,0,7.01,6.938099419641996,23.9,23.822023038690322,-0.7000000000000028
2026-01-01 00:20:00,99.3,100.0,0,7.01,6.938099419641996,23.7,23.822023038690322,-0.7000000000000028
2026-01-01 00:25:00,99.3,100.0,0,7.01,6.938099419641996,23.7,23.822023038690322,-0.7000000000000028
2026-01-01 00:30:00,99.3,100.0,0,7.01,6.938099419641996,23.6,23.822023038690322,-0.7000000000000028
2026-01-01 00:35:00,98.9,99.6,0,7.01,6.938099419641996,23.5,23.822023038690322,-0.6999999999999886
2026-01-01 00:40:00,98.2,99.6,0,7.02,6.938099419641996,23.6,23.822023038690322,-1.3999999999999915
2026-01-01 00:45:00,98.2,99.6,0,7.02,6.938099419641996,23.6,23.822023038690322,-1.3999999999999915
2026-01-01 00:50:00,98.9,99.6,0,7.01,6.938099419641996,23.5,23.822023038690322,-0.6999999999999886
2026-01-01 00:55:00,98.9,99.6,0,7.01,6.938099419641996,23.5,23.822023038690322,-0.6999999999999886
2026-01-01 01:00:00,98.2,99.6,0,7.02,6.938099419641996,23.4,23.822023038690322,-1.3999999999999915
2026-01-01 01:05:00,98.2,99.6,0,7.02,6.938099419641996,23.4,23.822023038690322,-1.3999999999999915
2026-01-01 01:10:00,98.2,99.6,0,7.02,6.938099419641996,23.3,23.822023038690322,-1.3999999999999915
2026-01-01 01:15:00,98.2,99.6,0,7.02,6.938099419641996,23.3,23.822023038690322,-1.3999999999999915
2026-01-01 01:20:00,98.2,99.6,0,7.02,6.938099419641996,23.4,23.822023038690322,-1.3999999999999915
2026-01-01 01:25:00,98.2,99.6,0,7.02,6.938099419641996,23.4,23.822023038690322,-1.3999999999999915
2026-01-01 01:30:00,98.2,99.6,0,7.02,6.938099419641996,23.4,23.822023038690322,-1.3999999999999915
2026-01-01 01:35:00,98.2,99.6,0,7.02,6.938099419641996,23.3,23.822023038690322,-1.3999999999999915
2026-01-01 01:40:00,98.2,99.6,0,7.02,6.938099419641996,23.2,23.822023038690322,-1.3999999999999915
2026-01-01 01:45:00,97.5,99.6,0,7.03,6.938099419641996,23.1,23.822023038690322,-2.0999999999999943
2026-01-01 01:50:00,97.5,99.6,0,7.03,6.938099419641996,23.2,23.822023038690322,-2.0999999999999943
2026-01-01 01:55:00,97.5,99.6,0,7.03,6.938099419641996,23.3,23.822023038690322,-2.0999999999999943
2026-01-01 02:00:00,96.7,98.8,0,7.03,6.938099419641996,23.1,23.822023038690322,-2.0999999999999943
2026-01-01 02:05:00,96.7,98.8,0,7.03,6.938099419641996,23.2,23.822023038690322,-2.0999999999999943
2026-01-01 02:10:00,97.4,98.8,0,7.02,6.938099419641996,23.2,23.822023038690322,-1.3999999999999915
2026-01-01 02:15:00,97.4,98.8,0,7.02,6.938099419641996,23.1,23.822023038690322,-1.3999999999999915
2026-01-01 02:20:00,97.8,99.2,0,7.02,6.938099419641996,23.1,23.822023038690322,-1.4000000000000057
2026-01-01 02:25:00,97.8,99.2,0,7.02,6.938099419641996,23.1,23.822023038690322,-1.4000000000000057
2026-01-01 02:30:00,98.2,99.6,0,7.02,6.938099419641996,23.1,23.822023038690322,-1.3999999999999915
2026-01-01 02:35:00,98.9,99.6,0,7.01,6.938099419641996,23.2,23.822023038690322,-0.6999999999999886
2026-01-01 02:40:00,98.9,99.6,0,7.01,6.938099419641996,23.2,23.822023038690322,-0.6999999999999886
2026-01-01 02:45:00,98.9,99.6,0,7.01,6.938099419641996,23.2,23.822023038690322,-0.6999999999999886
